slug,name,country,official_url,guide_url,food,stay,transport,visit,shopping,entertainment
beijing,北京,中国,https://en.wikivoyage.org/wiki/Beijing,https://en.wikivoyage.org/wiki/Beijing,烤鸭;炸酱面;宫廷点心,东城;西城;国贸;望京,地铁;公交;高铁;网约车,故宫;天坛;颐和园;长城,王府井;前门;三里屯;潘家园,胡同夜游;剧场;展览;夜景
shanghai,上海,中国,https://en.wikivoyage.org/wiki/Shanghai,https://en.wikivoyage.org/wiki/Shanghai,本帮菜;生煎;咖啡甜品,人民广场;静安;陆家嘴;徐汇,地铁;公交;高铁;机场线,外滩;豫园;武康路;浦东天际线,南京路;淮海路;新天地;田子坊,黄浦江夜景;展览;爵士酒吧;剧场
guangzhou,广州,中国,https://en.wikivoyage.org/wiki/Guangzhou,https://en.wikivoyage.org/wiki/Guangzhou,早茶;烧腊;糖水,越秀;天河;珠江新城;荔湾,地铁;公交;高铁;机场线,陈家祠;沙面;越秀公园;珠江,北京路;上下九;天河城;永庆坊,珠江夜游;粤剧;夜市;展览
shenzhen,深圳,中国,https://en.wikivoyage.org/wiki/Shenzhen,https://en.wikivoyage.org/wiki/Shenzhen,粤菜;潮汕牛肉;创意咖啡,福田;南山;罗湖;盐田,地铁;公交;高铁;口岸交通,世界之窗;深圳湾;大鹏所城;华侨城,万象天地;海岸城;东门;华强北,海滨夜景;Live house;展览;城市公园
chengdu,成都,中国,https://en.wikivoyage.org/wiki/Chengdu,https://en.wikivoyage.org/wiki/Chengdu,火锅;串串;盖碗茶,春熙路;宽窄巷子;太古里;人民公园,地铁;公交;高铁;机场线,武侯祠;杜甫草堂;熊猫基地;锦里,太古里;宽窄巷子;IFS;文殊院,茶馆;川剧;夜市;酒吧
chongqing,重庆,中国,https://en.wikivoyage.org/wiki/Chongqing,https://en.wikivoyage.org/wiki/Chongqing,火锅;小面;江湖菜,解放碑;洪崖洞;观音桥;南滨路,轨道交通;公交;高铁;索道,洪崖洞;长江索道;磁器口;鹅岭二厂,解放碑;观音桥;来福士;山城巷,两江夜景;游船;夜市;剧场
xian,西安,中国,https://en.wikivoyage.org/wiki/Xi%27an,https://en.wikivoyage.org/wiki/Xi%27an,肉夹馍;羊肉泡馍;凉皮,钟楼;大雁塔;曲江;小寨,地铁;公交;高铁;机场线,兵马俑;城墙;大雁塔;陕西历史博物馆,回民街;赛格;大唐不夜城;书院门,大唐不夜城;城墙夜景;演出;夜市
hangzhou,杭州,中国,https://en.wikivoyage.org/wiki/Hangzhou,https://en.wikivoyage.org/wiki/Hangzhou,杭帮菜;龙井茶;片儿川,西湖;武林;钱江新城;湖滨,地铁;公交;高铁;水上巴士,西湖;灵隐寺;西溪湿地;京杭大运河,湖滨;河坊街;武林;良渚,西湖夜景;茶馆;演出;运河夜游
suzhou,苏州,中国,https://en.wikivoyage.org/wiki/Suzhou,https://en.wikivoyage.org/wiki/Suzhou,苏帮菜;面馆;糕团,观前街;平江路;金鸡湖;山塘街,地铁;公交;高铁;步行,拙政园;留园;平江路;金鸡湖,观前街;诚品;山塘街;平江路,评弹;园林夜游;金鸡湖夜景;茶馆
nanjing,南京,中国,https://en.wikivoyage.org/wiki/Nanjing,https://en.wikivoyage.org/wiki/Nanjing,鸭血粉丝汤;盐水鸭;小笼包,新街口;夫子庙;鼓楼;河西,地铁;公交;高铁;机场线,中山陵;夫子庙;玄武湖;南京博物院,新街口;夫子庙;老门东;德基,秦淮夜游;博物馆;剧场;夜市
