slug,name,angle
first-time,第一次去,适合新手收藏的基础攻略
pitfalls,避坑,把容易踩坑的信息提前讲清楚
citywalk,Citywalk,用街区散步串起吃喝逛拍
weekend,周末两日轻旅行,压缩通勤、保留核心体验
family,亲子游,节奏轻松、动线简单、亲子体验友好
food,美食集中打卡,用餐区位和代表风味优先
night-view,夜景与晚间活动,晚间体验和返程交通优先
rainy-day,雨天备用玩法,室内景点、商场和交通便利优先
high-speed-rail,高铁周末游,适合中国城市短途高铁出行
ancient-town,古城古镇游,历史街区、古镇和传统文化优先
museum,博物馆与展览,室内文化体验和预约信息优先
temple-culture,寺庙与宗教文化,寺庙礼仪、动线和安静体验优先
island,海岛度假,海滩、离岛、浮潜和天气风险优先
snow,滑雪与冬季旅行,雪场交通、装备和保暖提醒优先
flower,赏花季旅行,季节花期、拍照点和天气备用方案优先
summer,避暑旅行,凉爽景区、山水路线和住宿位置优先
autumn,秋景旅行,红叶银杏、徒步强度和摄影时间优先
hot-spring,温泉放松,温泉区域、住宿和慢节奏体验优先
shopping,购物与伴手礼,商圈、退税、伴手礼和行李限制优先
budget,省钱但舒服,公共交通、住宿性价比和免费景点优先
luxury,轻奢度假,酒店体验、餐厅预约和节奏舒适优先
solo,一个人旅行,安全、交通便利和独处体验优先
couple,情侣旅行,氛围感、拍照点和晚间活动优先
parents,带爸妈旅行,少走路、住宿便利和经典景点优先
photo,拍照出片,光线时间、服装建议和不打扰他人优先
local-market,市场与烟火气,早市夜市、街区生活和美食摊位优先
transit,转机/中转半日游,行李寄存、交通时间和短停留动线优先
