slug,name,query_terms,focus
food-overview,美食总览与本地人高频推荐,美食 本地人推荐 必吃 当地人常去 攻略,把平台高频出现的吃法、片区和本地人推荐关键词整理成城市吃喝总览
restaurants,当地人推荐的10大餐厅,当地人推荐 餐厅 饭馆 必吃 排队,提炼高频餐厅类型与适合游客验证的吃饭片区
fly-restaurants,10大苍蝇小馆和烟火气小店,苍蝇馆子 小馆 本地人常去 烟火气,整理高频小馆关键词和更适合体验本地生活的觅食方向
hotpot,最好吃的火锅或城市代表热菜,火锅 必吃 排队 本地人推荐 招牌菜,把城市代表热菜、火锅或同类高热餐饮做成新手友好索引
breakfast,最值得早起吃的早餐,早餐 早饭 早点 必吃 推荐,整理这个城市高频早餐类型与适合早起打卡的觅食路线
snacks,最值得买的零食和伴手礼,零食 伴手礼 特产 值得买,总结游客最常搜的零食清单与购买片区
hotels,最方便住的区域和酒店,住哪里 酒店 区域 方便 民宿,总结游客最常搜的住宿片区、预算区间和挑选思路
transport,交通怎么安排最省心,交通 地铁 机场 高铁 打车 公交,提炼机场高铁进城、地铁公交、打车和少绕路交通建议
attractions,最推荐的游玩景点,景点 值得去 游玩 排名 必打卡,整理高频景点、预约提醒和第一次去更稳妥的游玩顺序
citywalk,最值得逛的citywalk路线,citywalk 街区 散步 路线,总结高频街区和步行路线话题
photospots,最容易出片的拍照点,拍照 出片 机位 打卡点,汇总最常出现的出片地点和避开人潮的建议
museums,最值得去的博物馆和展览,博物馆 展览 值得去 预约,整理高热文化场馆话题和预约提醒
shopping,最值得逛的购物点和商圈,购物 商圈 商场 好逛 逛街,归纳最常被提到的商圈、商场和购物点
what-to-buy,什么值得买清单,值得买 特产 纪念品 文创 手信,整理游客最常搜的特产、文创、纪念品和不踩雷购买建议
shoppingstreets,最值得逛的商业街和买手店,商业街 买手店 文创店 好逛,整理逛街党最常搜的片区和商店类型
markets,最有烟火气的夜市和菜市场,夜市 菜市场 烟火气 市集,总结人气市集和更适合游客体验的逛法
nightlife,最好玩的夜生活和晚间活动,夜生活 夜游 livehouse 微醺 演出,总结晚间活动、夜游、演出和微醺玩法
nightview,最值得看的夜景和机位,夜景 机位 拍照 打卡,提炼热门夜景区域和拍照时段建议
cafes,最出片的咖啡馆,咖啡馆 cafe 探店 出片,整理高热咖啡馆主题和更适合出片的片区
desserts,最值得专门去吃的甜品,甜品 蛋糕 冰品 必吃,提炼高频甜品话题与适合顺路安排的片区
rainyday,下雨天也能玩的去处,雨天 室内 去哪玩 备用,总结天气不好时的高频替代玩法
parents,带爸妈去最省力的玩法,带爸妈 适合长辈 省力,整理适合家庭游客的高热话题和少走路安排
family,亲子最值得去的地方,亲子 遛娃 适合小孩,总结平台高频亲子玩法和适合带孩子的区域
daytrip,周边一日游最值得去哪,周边 一日游 当天往返,提炼这个城市周边延展玩法的话题热度
checklist,第一次去最该知道的避坑清单,避坑 攻略 注意事项 第一次去,整理高频踩坑点和新手最需要提前知道的信息
